Part_id	Sc_id	answer	Mean gaze_angle_x	Standard Deviation gaze_angle_x	Minimum gaze_angle_x	Maximum gaze_angle_x	Sum gaze_angle_x	Mean gaze_angle_y	Standard Deviation gaze_angle_y	Minimum gaze_angle_y	Maximum gaze_angle_y	Sum gaze_angle_y
7	seg11	0.0	0.0059213483146067	0.081596599499412	-0.223	0.285	1.0539999999999998	0.4009494382022474	0.1351681546362688	-0.037	0.704	71.369
7	seg12	1.0	0.0059213483146067	0.081596599499412	-0.223	0.285	1.0539999999999998	0.4009494382022474	0.1351681546362688	-0.037	0.704	71.369
7	seg13	1.0	-0.028257281553398	0.0991496702322965	-0.355	0.176	-11.642	0.3766577669902912	0.1648793523693374	0.007	0.785	155.183
7	seg14	1.0	-0.012625	0.0840439693658307	-0.218	0.32	-6.867999999999999	0.3648125000000001	0.1405639042118545	-0.087	0.67	198.458
7	seg15	1.0	-0.0183327205882352	0.0827158581776734	-0.218	0.32	-9.973000000000004	0.3687352941176475	0.1484981176992073	-0.087	0.67	200.592
7	seg16	0.0	-0.0046957547169811	0.0734411867177122	-0.143	0.252	-1.9910000000000003	0.4539740566037736	0.0853147158586051	-0.031	0.704	192.485
7	seg17	1.0	0.0217551546391752	0.0706437581546536	-0.272	0.217	8.440999999999999	0.431399484536083	0.1806521624951311	0.049	0.786	167.38299999999998
8	seg1	1.0	-0.0492925045703838	0.0516503007112504	-0.219	0.088	-26.963	0.4675374771480803	0.1052094627169493	0.152	0.779	255.743
8	seg2	1.0	-0.0413659711075441	0.0658271309528397	-0.243	0.151	-25.771	0.4875457463884428	0.1011524955773289	0.155	0.779	303.741
8	seg3	1.0	-0.0487984	0.0525972561778654	-0.19	0.092	-30.499	0.4421391999999992	0.111291925238806	0.232	0.673	276.337
8	seg4	0.0	-0.0651984	0.0478956097929653	-0.197	0.053	-40.749	0.3521408	0.0831377036930897	0.239	0.593	220.088
8	seg5	1.0	0.0512528180354266	0.0670375829838481	-0.119	0.211	31.828	0.5721497584541061	0.1102934679389036	0.219	0.776	355.30499999999995
8	seg6	1.0	0.0295878489326765	0.0831871251059083	-0.342	0.241	18.019	0.4400853858784896	0.1172091835533877	-0.137	0.776	268.012
8	seg7	1.0	0.0664430379746835	0.0767668372269116	-0.342	0.241	36.743	0.4158408679927665	0.1120329323546301	-0.137	0.78	229.96
8	seg8	1.0	0.0664430379746835	0.0767668372269116	-0.342	0.241	36.743	0.4158408679927665	0.1120329323546301	-0.137	0.78	229.96
8	seg9	1.0	0.0928227513227513	0.0591885857976562	-0.122	0.343	35.087	0.4516322751322746	0.1243917038847562	0.042	0.78	170.71699999999998
8	seg10	1.0	0.0732173913043478	0.0907030302555682	-0.269	0.343	11.788	0.4461180124223601	0.1826587756147867	-0.125	0.729	71.82499999999999
8	seg11	1.0	0.0335913312693499	0.0892191453673778	-0.269	0.238	10.85	0.4353746130030958	0.1559100486063331	-0.125	0.693	140.62599999999998
8	seg12	0.0	0.0335913312693499	0.0892191453673778	-0.269	0.238	10.85	0.4353746130030958	0.1559100486063331	-0.125	0.693	140.62599999999998
8	seg13	0.0	0.0069174311926605	0.0801807356472637	-0.281	0.282	2.261999999999999	0.3694036697247705	0.1595904229764404	-0.176	0.75	120.795
8	seg14	1.0	0.0123915094339622	0.1610575677097774	-1.127	0.336	2.6270000000000007	0.3553584905660378	0.1947909711149629	-1.01	0.631	75.336
8	seg15	1.0	-0.0050245614035087	0.14449494409986	-1.127	0.336	-1.4320000000000006	0.3894631578947369	0.1790870695143027	-1.01	0.631	110.997
8	seg16	1.0	0.0200322580645161	0.0677480886335324	-0.191	0.238	10.557	0.4766679316888045	0.1492182595114399	0.112	0.702	251.204
8	seg17	1.0	0.0041003649635036	0.0740873852744251	-0.343	0.221	2.247	0.4423266423357671	0.1471858434152713	0.023	0.839	242.395
9	seg1	1.0	-0.0549872	0.0523860118367489	-0.174	0.053	-34.367000000000004	0.3224976000000003	0.0667630106738754	0.234	0.581	201.561
9	seg2	0.0	-0.04328	0.073859759003127	-0.197	0.196	-27.05	0.4362352000000005	0.1310274745271387	0.219	0.767	272.647
9	seg3	1.0	0.0231132743362831	0.0674441722646557	-0.191	0.238	13.059	0.4745840707964602	0.1466385433681327	0.112	0.719	268.14
9	seg4	0.0	0.0066044905008635	0.0661997086897865	-0.175	0.2	3.824	0.4193074265975817	0.1144927332736864	-0.146	0.768	242.779
9	seg5	1.0	-0.0164311926605504	0.0697676835592222	-0.143	0.252	-5.373	0.4545198776758408	0.0961661346101453	-0.037	0.704	148.628
9	seg6	0.0	-0.0036119402985074	0.0919496869600769	-0.223	0.285	-0.242	0.3063731343283582	0.1672809626713857	-0.287	0.635	20.527
9	seg7	0.0	0.0009430894308943	0.0721320830947895	-0.223	0.285	0.2320000000000006	0.3662520325203254	0.147279066643833	-0.287	0.656	90.098
9	seg9	1.0	0.0071168	0.0745900848488591	-0.343	0.221	4.447999999999999	0.4533840000000004	0.1585795338119014	0.005	0.878	283.365
9	seg10	0.0	-0.0237822580645161	0.0768768349357584	-0.308	0.159	-14.745	0.4849290322580644	0.1504819937648706	-0.035	0.878	300.65599999999995
9	seg11	1.0	-0.046070205479452	0.0799030247166018	-0.308	0.22	-26.905000000000005	0.4715616438356158	0.1228217732360978	-0.035	0.734	275.39200000000005
9	seg12	1.0	-0.046070205479452	0.0799030247166018	-0.308	0.22	-26.905000000000005	0.4715616438356158	0.1228217732360978	-0.035	0.734	275.39200000000005
9	seg13	1.0	0.0432909836065574	0.078810504733884	-0.189	0.239	21.126	0.4110204918032787	0.1481320425806057	0.012	0.752	200.578
9	seg15	1.0	0.0089048723897911	0.0777022859578864	-0.196	0.211	3.838000000000001	0.4641670533642687	0.1257178180409915	0.005	0.74	200.056
9	seg16	0.0	-0.0489202453987729	0.0834282309103053	-0.281	0.22	-15.948	0.4953098159509205	0.1009987199789652	0.159	0.73	161.471
9	seg17	1.0	0.0044677685950413	0.1003855264458687	-0.341	0.276	2.703000000000001	0.4645900826446275	0.1534354595008095	-0.013	0.767	281.077
10	seg1	1.0	-0.0471642276422763	0.0542078267082898	-0.219	0.088	-29.006	0.490291056910569	0.1083740653943667	0.152	0.779	301.529
10	seg2	0.0	-0.0403964686998394	0.0688757817390288	-0.243	0.151	-25.167	0.4581829855537725	0.1043048466118449	0.148	0.726	285.44800000000004
10	seg3	1.0	-0.0624703999999999	0.0525378599092121	-0.175	0.053	-39.044	0.3799455999999998	0.100237686728296	0.232	0.603	237.466
10	seg4	1.0	0.0053429951690821	0.0595973599857992	-0.152	0.2	3.318000000000001	0.4369597423510467	0.1287794429137037	0.131	0.719	271.352
10	seg5	1.0	0.0069174311926605	0.0801807356472637	-0.281	0.282	2.261999999999999	0.3694036697247705	0.1595904229764404	-0.176	0.75	120.795
10	seg6	1.0	-0.000263779527559	0.1508676393186729	-1.127	0.336	-0.0669999999999997	0.3795787401574804	0.1871436763853141	-1.01	0.631	96.413
10	seg7	1.0	-0.009	0.0751113614658489	-0.164	0.252	-3.302999999999999	0.4416430517711174	0.1134529423842582	-0.141	0.637	162.083
10	seg9	1.0	-0.0068186666666666	0.0730759909378966	-0.143	0.252	-2.5569999999999995	0.4625013333333332	0.082150978883733	-0.031	0.704	173.43800000000002
10	seg10	0.0	0.0049102564102564	0.0762058086986906	-0.223	0.285	0.7660000000000002	0.387974358974359	0.1449817826185612	-0.287	0.704	60.524
10	seg11	1.0	-0.0106560283687943	0.0992298827308554	-0.355	0.32	-6.01	0.3592624113475176	0.1580999277945866	-0.087	0.785	202.624
10	seg12	1.0	-0.0106560283687943	0.0992298827308554	-0.355	0.32	-6.01	0.3592624113475176	0.1580999277945866	-0.087	0.785	202.624
10	seg13	1.0	0.0277142857142857	0.0730874666258024	-0.272	0.292	12.222	0.4477029478458051	0.184946471916345	0.049	0.789	197.437
10	seg15	1.0	0.0314228971962616	0.1146988993543597	-0.232	0.375	13.449	0.4684672897196264	0.1340030211513945	0.083	0.77	200.504
