Part_id	Sc_id	abspathanglesrate	blinkdurationmax	blinkdurationmean	blinkdurationmin	blinkdurationstd	blinkdurationtotal	blinknum	blinkrate	blinktimedistancemax	blinktimedistancemean	blinktimedistancemin	blinktimedistancestd	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	length	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numfixations	numsaccades	numsamples	numsegments	relpathanglesrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration	answer
4	seg7	4.02E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	616.5	3748.5	0.001257698	2.54E-06	0.004296208	14972409	609.6319568	99927	639.9	3748.5	0.009486641	0.011784662	1.62634847	615.1287796	184.5263158	508.9397681	3239.785975	0.000867881	1.273529205	260.0849956	60449.51852	0.004199704	607	2982.5	0	0.001225941	38	27	900	1	3.06E-06	609.15	3126	0.965865857	5.385846768	77.09549601	628.5264858	129.3387774	0.00138361	0.877565987	166.3612153	15422.71118	0.002639007	60.17489339	7012	18830.77142	45.84705137	7022.294881	1632137	0
4	seg6	5.37E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	614.75	3305.5	0.00132092	3.74E-06	0.003915551	14989042	1643.359592	116581	624.8	4126	0.038546983	0.014605032	1.462429422	608.2556858	203.7857143	359.9876448	3480.823564	0.000927664	1.368975392	296.3099249	58290.64	0.004745678	593.25	2296.5	0	0.000933439	56	50	901	1	4.93E-06	598.3	3656	1.100366101	4.721727066	80.11644123	401.9366372	291.9820485	0.002248892	1.024495797	277.0157533	17239.06008	0.003383296	80.43361821	11412	19799.32046	73.92467115	14815.49624	2914532	0
4	seg1	3.85E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	591	3885.5	0.001293746	2.67E-06	0.009255724	14989059	250.9068894	66618	616.9	4269.5	0.161883031	0.003908984	1.479555792	595.3769182	258.2	497.2316103	3705.116352	0.001237571	1.418572539	121.2886613	48515.21739	0.002430939	576.5	2433	0	0.001142627	40	23	901	1	3.60E-06	616.9	3967	0.975291054	5.113405229	239.0296838	613.5446473	298.6386914	0.006077784	0.892391064	56.33151605	11130.38571	0.000778096	57.70267587	10328	19392.0328	53.90575647	2789.63921	1115850	
4	seg10	3.53E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	598.95	3084	0.000919432	2.27E-06	0.005837443	14972376	1422.022624	116581	623.8	3930.5	0.026238367	0.012197722	1.599969837	599.23407	208.7352941	417.1538976	3555.183241	0.001001165	1.016171274	281.1108668	57893.90476	0.004100535	576.8	2967	0	0.001051432	34	21	900	1	2.17E-06	604.25	3887	0.959832298	7.917535038	237.4173296	469.0863343	146.339219	0.001997536	0.92216116	320.7840816	25595.48684	0.00284693	52.79900463	7097	13766.07862	32.51748075	5903.328202	1215772	0
4	seg3	2.14E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	586.15	3829.5	0.000543854	1.67E-06	0.008478668	14972415	773.4304939	83273	632.65	4252.5	0.112698889	0.00928789	1.333503359	600.9673489	271.12	339.2837287	3673.079922	0.001191441	1.117478338	158.1491992	47024.58824	0.003097324	577.8	1686	0	0.000876751	25	17	900	1	1.72E-06	586.8	3361	1.294066434	15.33519909	167.0589517	500.6290927	221.5947271	0.005539797	1.120402475	165.6908375	14703.54614	0.001944365	32.00408061	6778	8142.809488	25.70200177	2688.536386	799418	1
4	seg2	4.54E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	612.15	3483	0.000803941	3.14E-06	0.006569072	14989052	1513.181707	116581	615.65	4183	0.07506155	0.01297966	1.478708256	603.6135623	242.0851064	261.9633398	3790.242724	0.001321575	1.495967059	259.148728	57735.2	0.003764251	596	1753	0	0.001147132	47	30	901	1	4.49E-06	600.2	3943.5	1.076012768	4.18719528	187.8454302	355.8224775	180.0762583	0.004138944	1.018643247	295.7503008	21307.11011	0.002667354	68.0205798	11378	12050.31363	67.31851764	7774.461841	1732056	0
4	seg15	4.12E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	615.05	3694.5	0.001468794	2.60E-06	0.004577749	14989067	920.3675163	116582	635.8	4035	0.090068452	0.012459328	1.625363154	615.0559618	203.3076923	579.3645679	3611.115262	0.001070285	1.298141059	332.3674012	64150.88889	0.005020761	600.05	2141	0	0.001227184	39	27	901	1	3.20E-06	619.35	3461	1.012883152	6.505266747	109.1353949	597.2336341	216.234231	0.00432063	1.00528051	225.8574823	22488.9442	0.002834597	61.76379986	7929	22015.85358	48.03121918	8973.919832	1732074	0
4	seg13	4.64E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	619.2	3069	0.001090542	2.94E-06	0.004492984	14989034	1622.123456	116581	621.3	3887.5	0.108916241	0.01523717	1.616433074	614.5645658	217.6818182	380.1436676	3464.397059	0.001046935	1.717215023	334.0485385	62699.05882	0.004569425	593	1388	0	0.000992143	44	34	901	1	4.81E-06	615.2	3667	1.156500466	4.921287662	103.6159664	365.4703446	285.04705	0.005486332	1.01541514	355.4714299	18362.9217	0.003200573	69.50662217	9578	16346.17771	72.12303097	11357.65031	2131768	1
4	seg14	3.66E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	615.25	3714.5	0.001368705	2.34E-06	0.005165276	14989065	920.3675163	116582	635.8	4035	0.090068452	0.012459328	1.612973931	615.9293419	194.1714286	603.4001407	3512.858318	0.001085554	1.294152675	275.6882968	59804.95455	0.004357822	600.05	2141	0	0.001499477	35	22	901	1	2.85E-06	621.2	3184.5	1.018503151	7.418676506	101.0877562	627.4822511	214.2830121	0.004511587	0.966081337	220.5946697	18995.49634	0.002740088	54.84111367	6796	20515.60478	42.70703827	6065.14253	1315709	0
4	seg11	4.94E-06	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	615.45	3701	0.001219491	3.27E-06	0.004317854	14989064	867.2754378	116582	640.9	4116	0.051546082	0.007850485	1.543685772	615.6076011	199.5918367	380.8131911	3624.693166	0.000875364	1.509960451	278.2377376	59605.63158	0.004117368	593.5	1780	0	0.001051432	49	38	901	1	4.73E-06	598.4	3625	0.959810048	11.17556855	101.1308802	397.158499	189.9096466	0.002502653	0.99901573	226.44235	22118.83855	0.002354933	74.09691707	9780	18279.03318	70.96814118	10573.03403	2265014	
