Participant	Segment	Start Time	End Time
19	7	314896165	334896165
19	8	314896165	334896165
19	9	324896165	344896165
19	10	338896165	358896165
19	11	350896165	370896165
19	12	350896165	370896165
19	13	438896165	458896165
19	14	463896165	483896165
19	15	466896165	486896165
19	16	361896165	381896165
19	17	527896165	547896165
19	18	414896165	434896165
19	19	476896165	496896165
20	1	174705070	221162883
20	2	225162883	258668512
20	3	266668512	304628352
20	4	315628352	335628352
20	5	343628352	370775965
20	6	367775965	489687811
20	7	377775965	565683646
20	8	377775965	565683646
20	9	489687811	575683646
20	10	569683646	589683646
20	11	581683646	601683646
20	12	581683646	601683646
20	13	711117866	793062967
20	14	798062967	907555303
20	15	793307807	910555303
20	16	592683646	612683646
20	17	997932687	1068648764
20	18	670581283	707117866
20	19	900555303	920555303
21	1	241691845	261691845
21	2	265691845	285691845
21	3	293691845	313691845
21	4	324691845	344691845
21	5	352691845	372691845
21	6	369691845	389691845
21	7	379691845	399691845
21	8	379691845	399691845
21	9	389691845	409691845
21	10	403691845	423691845
21	11	415691845	435691845
21	12	415691845	435691845
21	13	503691845	523691845
21	14	528691845	548691845
21	15	531691845	551691845
21	16	426691845	446691845
21	17	592691845	612691845
21	18	479691845	499691845
21	19	541691845	561691845
22	1	176481248	196481248
22	2	200481248	220481248
22	3	228481248	248481248
22	4	259481248	279481248
22	5	287481248	307481248
22	6	304481248	324481248
22	7	314481248	334481248
22	8	314481248	334481248
22	9	324481248	344481248
22	10	338481248	358481248
22	11	350481248	370481248
22	12	350481248	370481248
22	13	438481248	458481248
22	14	463481248	483481248
22	15	466481248	486481248
22	16	361481248	381481248
22	17	527481248	547481248
22	18	414481248	434481248
22	19	476481248	496481248
23	1	205516416	225516416
23	2	229516416	249516416
23	3	257516416	387475104
23	4	398475104	418475104
23	5	426475104	516140176
23	6	481185046	551469416
23	7	523140176	589058423
23	8	523140176	589058423
23	9	551469416	725327848
23	10	593058423	687734240
23	11	639320374	699734240
23	12	639320374	699734240
23	13	840316649	900628689
23	14	905628689	955146588
23	15	908628689	958146588
23	16	690734240	710734240
23	17	1045633996	1025650406
23	18	744485903	836316649
23	19	918628689	968146588
24	1	165253930	185253930
24	2	189253930	271895427
24	3	236366141	256366141
24	4	267366141	287366141
24	5	415904840	386028000
24	6	383028000	403028000
24	7	393028000	466206571
24	8	393028000	466206571
24	9	403028000	476206571
24	10	470206571	490206571
24	11	482206571	502206571
24	12	482206571	502206571
24	13	629687560	654083727
24	14	659083727	716661671
24	15	662083727	719661671
24	16	493206571	523229768
24	17	773249926	814261072
24	18	591178059	625687560
24	19	709661671	729661671
25	1	174067010	194067010
25	2	198067010	230263766
25	3	238263766	282037115
25	4	293037115	313037115
25	5	321037115	410067630
25	6	407067630	449053709
25	7	417067630	526045005
25	8	417067630	526045005
25	9	449053709	552674141
25	10	546674141	594235809
25	11	574464742	639314513
25	12	574464742	639314513
25	13	1047050550	1284232936
25	14	1317021441	1448367601
25	15	1330733668	1479218231
25	16	597235809	676775398
25	17	1794640904	2025340027
25	18	889876275	1111801972
25	19	1430538089	1548913113
