Number,fusion,Classifier,precision,recall,f1-score,accuracy
45,feature fusion10,Decision Tree,0.6267398415944928,0.576043771043771,0.5797727549529974,0.576043771043771
46,feature fusion10,Linear Discriminant Analysis,0.6381904618572575,0.568905723905724,0.5914257125552113,0.568905723905724
47,feature fusion10,Bagging,0.578150994685161,0.5501202501202501,0.5430192808267605,0.5501202501202501
48,feature fusion10,Extra Trees,0.5726408512050438,0.6046103896103896,0.5615154318935333,0.6046103896103896
49,feature fusion10,Gaussian Process,0.6510684262645047,0.6376719576719577,0.6384424665546731,0.6376719576719577
50,feature fusion10,Ridge,0.7025821373299144,0.6458802308802308,0.6568199698036692,0.6458802308802308
51,feature fusion10,Linear Support Vector Classifier,0.6701531077280892,0.6237277537277537,0.6299943009352325,0.6237277537277537
52,feature fusion10,Calibrated Classifier,0.7805296384734215,0.6737782587782587,0.5541496182754854,0.6737782587782587
53,feature fusion10,Histogram Gradient Boosting,0.5911569906407388,0.582987012987013,0.5495936448858726,0.582987012987013
54,feature fusion10,Dummy Classifier,0.8027077835606576,0.6774146224146224,0.5559793419498693,0.6774146224146224
